frame	correlation_to_final	mean_abs_distance_to_final	mean_abs_movement_to_next
1	0.033474	84.922201	6.165853
2	0.506606	78.843262	4.733480
3	0.721084	74.149658	6.646077
4	0.873096	67.561523	8.438965
5	0.942499	59.161296	11.080404
6	0.971133	48.139323	14.852783
7	0.982725	33.414795	20.778971
8	0.989024	13.583903	
