frame	correlation_to_final	mean_abs_distance_to_final	mean_abs_movement_to_next
1	-0.008022	73.403646	39.278076
2	0.766209	53.599365	27.405273
3	0.934107	39.512614	20.525228
4	0.977162	23.220133	
