frame	correlation_to_final	mean_abs_distance_to_final	mean_abs_movement_to_next
1	-0.064458	95.661865	7.465007
2	0.334493	88.235921	5.953206
3	0.534071	82.330729	7.836751
4	0.743138	74.519043	10.017171
5	0.864034	64.544840	12.974609
6	0.928863	51.643636	17.395264
7	0.956796	34.488770	24.276611
8	0.970602	12.878337	
