frame	correlation_to_final	mean_abs_distance_to_final	mean_abs_movement_to_next
1	0.008064	84.108154	13.594320
2	0.778157	70.705892	13.738118
3	0.947159	57.229492	27.521973
4	0.982419	29.955729	
