0.0	2	4	4
0.72	3	4	4
1.48	4	4	4
2.32	1	4	4
3.12	2	4	4
3.84	3	4	4
4.56	4	4	4
5.32	1	4	4
6.12	2	4	4
6.84	3	4	4
7.6	4	4	4
8.32	1	4	4
9.08	2	4	4
9.88	3	4	4
10.68	4	4	4
11.48	1	4	4
12.24	2	4	4
13.0	3	4	4
13.8	4	4	4
14.6	1	4	4
15.4	2	4	4
16.2	3	4	4
17.0	4	4	4
17.8	1	4	4
18.6	2	4	4
19.44	3	4	4
20.32	4	4	4
21.2	1	4	4
22.04	2	4	4
22.84	3	4	4
23.56	4	4	4
24.28	1	4	4
25.08	2	4	4
25.84	3	4	4
26.68	4	4	4
27.44	1	4	4
28.24	2	4	4
29.0	3	4	4
29.84	4	4	4
30.6	1	4	4
31.44	2	4	4
32.2	3	4	4
33.0	4	4	4
33.8	1	4	4
34.6	2	4	4
35.4	3	4	4
36.24	4	4	4
37.0	1	4	4
37.84	2	4	4
38.64	3	4	4
39.48	4	4	4
40.2	1	4	4
40.92	2	4	4
41.68	3	4	4
42.44	4	4	4
43.24	1	4	4
43.96	2	4	4
44.68	3	4	4
45.52	4	4	4
46.28	1	4	4
47.12	2	4	4
47.8	3	4	4
48.4	4	4	4
49.04	1	4	4
49.84	2	4	4
50.64	3	4	4
51.44	4	4	4
52.24	1	4	4
52.88	2	4	4
53.52	3	4	4
54.16	4	4	4
54.8	1	4	4
55.52	2	4	4
56.24	3	4	4
56.96	4	4	4
57.84	1	4	4
58.72	2	4	4
59.48	3	4	4
60.2	4	4	4
60.84	1	4	4
61.48	2	4	4
62.16	3	4	4
62.84	4	4	4
63.44	1	4	4
64.08	2	4	4
64.72	3	4	4
65.36	4	4	4
66.0	1	4	4
66.64	2	4	4
67.28	3	4	4
67.92	4	4	4
68.56	1	4	4
69.2	2	4	4
69.84	3	4	4
70.48	4	4	4
71.12	1	4	4
71.76	2	4	4
72.4	3	4	4
73.04	4	4	4
73.68	1	4	4
74.32	2	4	4
74.96	3	4	4
75.6	4	4	4
76.24	1	4	4
76.88	2	4	4
77.52	3	4	4
78.16	4	4	4
78.8	1	4	4
79.44	2	4	4
80.08	3	4	4
80.72	4	4	4
81.36	1	4	4
82.0	2	4	4
82.64	3	4	4
83.28	4	4	4
83.92	1	4	4
84.56	2	4	4
85.2	3	4	4
85.84	4	4	4
86.48	1	4	4
87.12	2	4	4
87.76	3	4	4
88.4	4	4	4
89.04	1	4	4
89.68	2	4	4
90.32	3	4	4
90.96	4	4	4
91.6	1	4	4
92.24	2	4	4
92.88	3	4	4
93.52	4	4	4
94.16	1	4	4
94.8	2	4	4
95.44	3	4	4
96.08	4	4	4
96.72	1	4	4
97.36	2	4	4
98.0	3	4	4
98.64	4	4	4
99.28	1	4	4
99.92	2	4	4
100.56	3	4	4
101.2	4	4	4
101.92	1	4	4
102.64	2	4	4
103.36	3	4	4
104.08	4	4	4
104.8	1	4	4
105.52	2	4	4
106.24	3	4	4
106.96	4	4	4
107.68	1	4	4
108.4	2	4	4
109.12	3	4	4
109.84	4	4	4
110.56	1	4	4
111.28	2	4	4
112.0	3	4	4
112.72	4	4	4
113.44	1	4	4
114.16	2	4	4
114.88	3	4	4
115.6	4	4	4
116.32	1	4	4
117.04	2	4	4
117.76	3	4	4
118.48	4	4	4
119.2	1	4	4
119.92	2	4	4
120.64	3	4	4
121.36	4	4	4
122.08	1	4	4
122.8	2	4	4
123.52	3	4	4
124.24	4	4	4
124.96	1	4	4
125.68	2	4	4
126.4	3	4	4
127.12	4	4	4
127.84	1	4	4
128.56	2	4	4
129.28	3	4	4
130.0	4	4	4
130.72	1	4	4
131.44	2	4	4
132.16	3	4	4
132.88	4	4	4
133.6	1	4	4
134.32	2	4	4
135.04	3	4	4
135.76	4	4	4
136.48	1	4	4
