0.01	1	3	4
0.74	2	3	4
1.5	3	3	4
2.38	1	3	4
3.14	2	3	4
3.89	3	3	4
4.62	1	3	4
5.38	2	3	4
6.15	3	3	4
6.9	1	3	4
7.66	2	3	4
8.38	3	3	4
9.18	1	3	4
9.94	2	3	4
10.78	3	3	4
11.58	1	3	4
12.26	2	3	4
13.06	3	3	4
13.86	1	3	4
14.66	2	3	4
15.46	3	3	4
16.26	1	3	4
17.02	2	3	4
17.82	3	3	4
18.66	1	3	4
19.5	2	3	4
20.38	3	3	4
21.26	1	3	4
22.1	2	3	4
22.86	3	3	4
23.58	1	3	4
24.42	2	3	4
25.14	3	3	4
25.98	1	3	4
26.78	2	3	4
27.58	3	3	4
28.3	1	3	4
29.06	2	3	4
29.86	3	3	4
30.66	1	3	4
31.46	2	3	4
32.22	3	3	4
33.02	1	3	4
33.82	2	3	4
34.62	3	3	4
35.42	1	3	4
36.26	2	3	4
37.06	3	3	4
37.9	1	3	4
38.74	2	3	4
39.5	3	3	4
40.22	1	3	4
40.98	2	3	4
41.74	3	3	4
42.58	1	3	4
43.3	2	3	4
44.02	3	3	4
44.66	1	3	4
45.38	2	3	4
46.14	3	3	4
46.9	1	3	4
47.54	2	3	4
48.18	3	3	4
48.82	1	3	4
49.46	2	3	4
50.1	3	3	4
50.74	1	3	4
51.38	2	3	4
52.02	3	3	4
52.66	1	3	4
53.3	2	3	4
53.94	3	3	4
54.58	1	3	4
55.22	2	3	4
55.86	3	3	4
56.5	1	3	4
57.14	2	3	4
57.78	3	3	4
58.42	1	3	4
59.06	2	3	4
59.7	3	3	4
60.34	1	3	4
